Player,Nation,Team,Position,Cluster
Aaron Cresswell,engENG,West Ham,DF,1
Aaron Ramsdale,engENG,Southampton,GK,1
Aaron Wan-Bissaka,engENG,West Ham,DF,2
Abdoulaye Doucouré,mlMLI,Everton,MF,2
Abdukodir Khusanov,uzUZB,Manchester City,DF,1
Abdul Fatawu Issahaku,ghGHA,Leicester City,FW,1
Adam Armstrong,engENG,Southampton,"FW,MF",1
Adam Lallana,engENG,Southampton,MF,1
Adam Smith,engENG,Bournemouth,DF,1
Adam Webster,engENG,Brighton,DF,1
Adam Wharton,engENG,Crystal Palace,MF,1
Adama Traoré,esESP,Fulham,"FW,MF",0
Albert Grønbaek,dkDEN,Southampton,"FW,MF",1
Alejandro Garnacho,arARG,Manchester Utd,"MF,FW",0
Alex Iwobi,ngNGA,Fulham,"FW,MF",0
Alex McCarthy,engENG,Southampton,GK,1
Alex Palmer,engENG,Ipswich Town,GK,1
Alex Scott,engENG,Bournemouth,MF,1
Alexander Isak,seSWE,Newcastle Utd,FW,0
Alexis Mac Allister,arARG,Liverpool,MF,2
Ali Al Hamadi,iqIRQ,Ipswich Town,FW,1
Alisson,brBRA,Liverpool,GK,1
Alphonse Areola,frFRA,West Ham,GK,1
Amad Diallo,ciCIV,Manchester Utd,"FW,MF",0
Amadou Onana,beBEL,Aston Villa,MF,1
Andreas Pereira,brBRA,Fulham,MF,0
Andrew Robertson,sctSCO,Liverpool,DF,2
André,brBRA,Wolves,MF,2
André Onana,cmCMR,Manchester Utd,GK,1
Andrés García,esESP,Aston Villa,"DF,MF",1
Andy Irving,sctSCO,West Ham,MF,1
Anthony Elanga,seSWE,Nott'ham Forest,FW,0
Anthony Gordon,engENG,Newcastle Utd,FW,0
Antoine Semenyo,ghGHA,Bournemouth,FW,0
Antonee Robinson,usUSA,Fulham,DF,2
Antony,brBRA,Manchester Utd,"DF,MF",1
Antonín Kinský,czCZE,Tottenham,GK,1
Archie Gray,engENG,Tottenham,"DF,MF",1
Arijanet Muric,xkKVX,Ipswich Town,GK,1
Armando Broja,alALB,Everton,FW,1
Armel Bella Kotchap,deGER,Southampton,DF,1
Ashley Young,engENG,Everton,"DF,FW",2
Axel Disasi,frFRA,Chelsea,DF,1
Axel Tuanzebe,cdCOD,Ipswich Town,DF,1
Ayden Heaven,engENG,Manchester Utd,DF,1
Bart Verbruggen,nlNED,Brighton,GK,1
Ben Brereton,clCHI,Southampton,FW,1
Ben Chilwell,engENG,Crystal Palace,DF,1
Ben Davies,wlsWAL,Tottenham,DF,1
Ben Godfrey,engENG,Ipswich Town,DF,1
Ben Johnson,engENG,Ipswich Town,"DF,FW",1
Ben Mee,engENG,Brentford,DF,1
Ben White,engENG,Arsenal,DF,1
Benoît Badiashile,frFRA,Chelsea,DF,1
Bernardo Silva,ptPOR,Manchester City,"MF,FW",0
Bernd Leno,deGER,Fulham,GK,1
Beto,gwGNB,Everton,FW,1
Bilal El Khannouss,maMAR,Leicester City,MF,2
Billy Gilmour,sctSCO,Brighton,MF,1
Bobby De Cordova-Reid,jmJAM,Leicester City,FW,1
Boubacar Kamara,frFRA,Aston Villa,MF,1
Boubakary Soumaré,frFRA,Leicester City,MF,2
Brajan Gruda,deGER,Brighton,"FW,MF",1
Brennan Johnson,wlsWAL,Tottenham,FW,0
Bruno Fernandes,ptPOR,Manchester Utd,MF,0
Bruno Guimarães,brBRA,Newcastle Utd,MF,2
Bryan Mbeumo,cmCMR,Brentford,FW,0
Bukayo Saka,engENG,Arsenal,"FW,MF",0
Caleb Okoli,itITA,Leicester City,DF,1
Callum Hudson-Odoi,engENG,Nott'ham Forest,"FW,MF",0
Callum Wilson,engENG,Newcastle Utd,FW,1
Calvin Bassey,ngNGA,Fulham,DF,2
Cameron Archer,engENG,Southampton,FW,1
Cameron Burgess,auAUS,Ipswich Town,DF,1
Caoimhín Kelleher,ieIRL,Liverpool,GK,1
Carlos Alcaraz,arARG,Everton,"FW,MF",1
Carlos Baleba,cmCMR,Brighton,MF,2
Carlos Forbs,ptPOR,Wolves,"MF,FW",1
Carlos Soler,esESP,West Ham,"MF,FW",1
Casemiro,brBRA,Manchester Utd,MF,2
Charlie Taylor,engENG,Southampton,DF,1
Cheick Doucouré,mlMLI,Crystal Palace,MF,1
Chiedozie Ogbene,ieIRL,Ipswich Town,FW,1
Chris Richards,usUSA,Crystal Palace,DF,1
Chris Wood,nzNZL,Nott'ham Forest,FW,0
Christian Eriksen,dkDEN,Manchester Utd,MF,1
Christian Nørgaard,dkDEN,Brentford,MF,2
Christian Walton,engENG,Ipswich Town,GK,1
Christopher Nkunku,frFRA,Chelsea,FW,1
Cody Gakpo,nlNED,Liverpool,FW,0
Cole Palmer,engENG,Chelsea,MF,0
Conor Bradley,nirNIR,Liverpool,DF,1
Conor Chaplin,engENG,Ipswich Town,"MF,FW",1
Conor Coady,engENG,Leicester City,DF,1
Conor Townsend,engENG,Ipswich Town,DF,1
Craig Dawson,engENG,Wolves,DF,1
Cristian Romero,arARG,Tottenham,DF,2
Crysencio Summerville,nlNED,West Ham,"FW,MF",1
Curtis Jones,engENG,Liverpool,"MF,DF",2
Daichi Kamada,jpJPN,Crystal Palace,MF,1
Dan Burn,engENG,Newcastle Utd,DF,2
Dango Ouattara,bfBFA,Bournemouth,FW,0
Daniel Muñoz,coCOL,Crystal Palace,DF,2
Danilo,brBRA,Nott'ham Forest,"MF,FW",1
Danny Ings,engENG,West Ham,"FW,MF",1
Danny Ward,wlsWAL,Leicester City,GK,1
Danny Welbeck,engENG,Brighton,FW,0
Dara O'Shea,ieIRL,Ipswich Town,DF,2
Darwin Núñez,uyURU,Liverpool,FW,1
David Brooks,wlsWAL,Bournemouth,"FW,MF",1
David Raya,esESP,Arsenal,GK,1
Dean Henderson,engENG,Crystal Palace,GK,1
Dean Huijsen,esESP,Bournemouth,DF,2
Declan Rice,engENG,Arsenal,MF,2
Dejan Kulusevski,seSWE,Tottenham,"MF,FW",0
Destiny Udogie,itITA,Tottenham,DF,2
Diego Carlos,brBRA,Aston Villa,DF,1
Diego Gómez,pyPAR,Brighton,MF,1
Diogo Dalot,ptPOR,Manchester Utd,DF,2
Diogo Jota,ptPOR,Liverpool,FW,0
