Statistic,Match played,Starts,Minutes,Goals,Assists,Yellow cards,Red cards,xG,xAG,Possession_ProgC,PrgPasses,PrgR,Goals per 90,Assists per 90,xG per 90,xAG per 90,SoT/90,Cmp,TotDist,KP,1/3,PPA,CrsPA,PrgPasses.1,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Blocks,Block shot,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Possession_Att,Carries,Possession_ProgC.1,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Rec,PrgR.1,Fls,Fld,Off,Crs,Recov,Won,Lost
Median,22.0,15.0,1348.0,1.0,1.0,2.0,0.0,0.9,0.8,15.0,38.0,24.0,0.03,0.04,0.07,0.07,0.23,449.0,7266.0,8.0,28.0,6.0,1.0,38.0,20.0,1.83,2.0,0.16,17.0,10.0,7.0,12.0,3.0,8.0,7.0,734.0,31.0,158.0,272.0,140.0,20.0,13.0,392.0,15.0,13.0,2.0,12.0,7.0,481.0,24.0,12.0,10.0,1.0,9.0,44.0,10.0,13.0
Mean,20.8592132505176,15.31055900621118,1372.9792960662526,2.002070393374741,1.4886128364389235,2.927536231884058,0.09109730848861283,2.026086956521739,1.496687370600414,26.1055900621118,51.49068322981366,50.850931677018636,0.1217391304347826,0.08991718426501037,0.13335403726708076,0.09780538302277433,0.4096687370600414,548.8385093167702,9420.238095238095,13.58592132505176,42.850931677018636,11.554865424430641,2.7370600414078674,51.49068322981366,31.751552795031056,2.0954658385093166,3.4761904761904763,0.21403726708074536,24.511387163561075,14.635610766045549,11.401656314699792,15.138716356107661,5.128364389233955,10.010351966873706,11.095238095238095,829.664596273292,93.87577639751552,274.35403726708074,352.5652173913044,210.91097308488614,34.316770186335404,25.217391304347824,465.1532091097308,26.1055900621118,17.459627329192546,8.047619047619047,18.77225672877847,13.08695652173913,542.7784679089027,50.850931677018636,15.325051759834368,14.815734989648034,2.3768115942028984,24.27536231884058,57.67080745341615,17.890269151138718,17.88198757763975
Std,9.591709172870052,10.650756908122041,900.171629316354,3.5025177457580208,2.2140101666079093,2.5848520460222875,0.3088988555491032,3.069597708496658,1.858553569006033,30.365669593279183,49.53209923803371,63.53770513007664,0.18729200984321118,0.12521845382018348,0.16123593225410157,0.10216813197313515,0.5983687142999423,453.92030348558484,8180.380865142814,15.285742025283135,44.22160497585485,14.303272415681821,4.266925444567737,49.53209923803371,32.06121564154579,1.4569014255851578,4.209866939499496,0.2257859823186612,22.419366228702394,13.774101283634954,11.73126463195839,13.608157945298567,7.226628003327712,9.291381389929256,11.64656014320684,614.8003043606118,173.8977530616296,302.5168026595267,311.88883371609944,208.82344371975208,40.8717388121678,30.96953977718209,354.9724104249748,30.365669593279183,18.193517308645916,14.108934866760539,19.140501920698874,14.681991949527472,415.7889897733404,63.53770513007664,13.679039215012985,14.46892509449837,3.9413280745708756,35.647198676306076,46.055051362317144,20.92791343435339,18.214163547022622
Team,Statistic,Match played,Starts,Minutes,Goals,Assists,Yellow cards,Red cards,xG,xAG,Possession_ProgC,PrgPasses,PrgR,Goals per 90,Assists per 90,xG per 90,xAG per 90,SoT/90,Cmp,TotDist,KP,1/3,PPA,CrsPA,PrgPasses.1,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Blocks,Block shot,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Possession_Att,Carries,Possession_ProgC.1,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Rec,PrgR.1,Fls,Fld,Off,Crs,Recov,Won,Lost
Arsenal,Median,22.5,16.0,1427.5,2.0,1.5,2.5,0.0,1.65,0.9,23.0,55.5,51.0,0.1,0.11,0.095,0.095,0.225,459.5,7044.5,10.0,39.5,9.0,1.5,55.5,24.0,2.245,3.0,0.25,19.0,12.0,6.0,10.0,1.5,7.5,6.0,738.5,24.0,120.5,291.0,223.5,37.0,22.5,406.5,23.0,19.0,4.5,15.0,13.5,528.5,51.0,14.0,17.0,1.5,11.0,48.0,10.5,15.5
Arsenal,Mean,22.59090909090909,17.0,1519.4545454545455,2.772727272727273,2.272727272727273,2.909090909090909,0.22727272727272727,2.4999999999999996,1.886363636363636,34.31818181818182,75.18181818181819,74.18181818181819,0.165,0.13863636363636364,0.15227272727272723,0.12090909090909087,0.41090909090909095,700.4090909090909,11484.318181818182,17.136363636363637,56.95454545454545,17.863636363636363,3.0,75.18181818181819,38.81818181818182,2.458636363636364,4.909090909090909,0.29636363636363644,24.09090909090909,14.272727272727273,8.863636363636363,13.181818181818182,4.318181818181818,8.863636363636363,9.272727272727273,983.7727272727273,73.5909090909091,246.1818181818182,427.95454545454544,316.90909090909093,52.5,29.727272727272727,578.1818181818181,34.31818181818182,21.363636363636363,11.772727272727273,19.318181818181817,15.681818181818182,693.6818181818181,74.18181818181819,16.636363636363637,16.318181818181817,3.409090909090909,31.818181818181817,58.04545454545455,19.5,18.954545454545453
Arsenal,Std,7.926201822100881,10.155927192672127,881.6773369021836,2.8103858095052354,2.6758499883538236,1.9738550848793073,0.5284134548067254,2.587515815456612,2.128557628009535,31.38301992151073,60.81559665527254,75.04134502528233,0.16695451333764394,0.1549284152530253,0.14182255238020633,0.11939965266397157,0.4100512057560511,551.782622751535,9779.359723838013,17.313070907335423,52.282635989150606,17.81731489188845,3.625307868699863,60.81559665527254,33.092419450808144,1.4281332986156157,5.485123525188843,0.3097394520214178,20.3280455831208,12.329530243172934,8.293976325625923,10.83924247764471,6.79205673062546,7.272226714375822,8.647497949072944,662.5281975539702,163.87238330071972,327.21445368641446,385.05231274436403,232.44843956515834,48.60114637095948,28.687448422083428,402.19003283376196,31.38301992151073,17.956416692450095,14.582872596308766,15.28580531590809,13.357310691817757,483.47328545527495,75.04134502528233,11.0606357112809,11.712371821268896,3.724552909047524,42.05057766845876,40.02793937658958,19.81521781719437,17.761588498048987
Aston Villa,Median,21.0,12.5,1094.5,1.0,0.0,2.0,0.0,0.8500000000000001,0.55,18.0,34.5,23.0,0.05,0.0,0.08499999999999999,0.055,0.22,488.5,7160.0,8.0,23.5,8.0,0.0,34.5,22.5,1.94,2.0,0.18,11.0,6.0,5.5,10.5,3.0,6.0,6.0,693.0,31.5,144.0,256.0,118.5,20.0,17.0,411.5,18.0,13.5,2.0,10.0,8.0,483.5,23.0,8.5,10.0,0.5,6.0,39.5,9.5,10.0
Aston Villa,Mean,19.615384615384617,14.115384615384615,1260.6923076923076,2.0,1.5769230769230769,2.3846153846153846,0.038461538461538464,2.0384615384615383,1.4846153846153847,24.192307692307693,45.26923076923077,44.73076923076923,0.1892307692307692,0.0926923076923077,0.20192307692307693,0.09307692307692308,0.4984615384615385,506.7692307692308,8654.5,12.576923076923077,39.38461538461539,11.076923076923077,2.1923076923076925,45.26923076923077,29.615384615384617,2.0553846153846154,3.5384615384615383,0.23384615384615381,21.73076923076923,12.538461538461538,9.961538461538462,11.346153846153847,3.730769230769231,7.615384615384615,8.384615384615385,744.7692307692307,89.73076923076923,249.15384615384616,318.15384615384613,184.80769230769232,32.73076923076923,24.73076923076923,422.46153846153845,24.192307692307693,15.5,7.076923076923077,17.5,13.26923076923077,499.53846153846155,44.73076923076923,14.038461538461538,16.807692307692307,2.0384615384615383,20.76923076923077,47.69230769230769,12.807692307692308,14.038461538461538
Aston Villa,Std,9.928048843864227,11.399392696374392,919.9748591882616,3.370459909270543,2.4194722882988664,2.3164960276576876,0.19611613513818402,3.0137122521006443,2.001537870277214,23.243096576436166,47.16232198889931,51.91574535133456,0.2992246390513064,0.11773046138727877,0.2539924287181684,0.10806550719889231,0.6807918466473717,413.8659983803751,7751.897683793305,14.846341170599782,45.96353069386809,12.718248548988424,3.9599922299846066,47.16232198889931,29.437495712885532,1.2940919001963678,3.80768453767661,0.20439328605562215,20.671831447276638,12.611838150660732,10.289726018629532,8.899178873097485,4.200549414614163,6.299694742299332,8.443112805485535,554.5062890674772,192.97078694814044,297.7432037589026,293.4290636331299,168.372686438334,38.14452274422391,29.83763756373174,306.1504506962851,23.243096576436166,13.082048769210425,10.702983049311353,21.786693186438367,15.230384610528237,372.2675629994352,51.91574535133456,13.589645379422581,17.304379170069595,2.99974357878495,34.66099559136487,35.60423483887189,11.757616189582754,13.949855251523635
Bournemouth,Median,25.0,17.0,1580.0,1.0,1.0,3.0,0.0,1.1,1.1,19.0,41.0,31.0,0.03,0.05,0.08,0.1,0.15,436.0,7088.0,11.0,37.0,7.0,2.0,41.0,28.0,2.35,2.0,0.22,21.0,10.0,10.0,15.0,3.0,8.0,10.0,783.0,44.0,159.0,298.0,127.0,19.0,16.0,479.0,19.0,15.0,1.0,17.0,8.0,413.0,31.0,15.0,10.0,0.0,10.0,56.0,20.0,22.0
Bournemouth,Mean,21.608695652173914,16.217391304347824,1451.7391304347825,2.260869565217391,1.6521739130434783,3.782608695652174,0.08695652173913043,2.639130434782609,1.7739130434782608,29.26086956521739,57.43478260869565,56.608695652173914,0.13434782608695653,0.10130434782608697,0.1817391304347826,0.1291304347826087,0.5434782608695652,488.9130434782609,8854.95652173913,17.434782608695652,47.34782608695652,12.956521739130435,3.9130434782608696,57.43478260869565,40.130434782608695,2.599565217391304,3.869565217391304,0.23000000000000004,27.47826086956522,15.91304347826087,11.521739130434783,18.47826086956522,5.565217391304348,12.91304347826087,14.0,829.0869565217391,87.47826086956522,249.65217391304347,354.17391304347825,235.52173913043478,39.130434782608695,26.434782608695652,445.1304347826087,29.26086956521739,20.347826086956523,9.0,22.956521739130434,13.826086956521738,484.0,56.608695652173914,19.82608695652174,15.304347826086957,2.739130434782609,32.30434782608695,71.43478260869566,22.782608695652176,24.217391304347824
